Cidade;Escola;GestaoAdministrativa;GestaoPedagogica;GestaoDeInfraestrutura;GestaoDeInteracao;NotaDaEscola;AnoDaAvaliacao
NAVIRAÍ;EE JURACY ALVES CARDOSO;9.63023;9.40919;9.13092;9.28461;9.30898;2018
SIDROLÂNDIA;EE KOPENOTI DE EM PROF. LÚCIO DIAS;9.02890;8.55035;7.84528;8.93516;8.45765;2018
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;8.69381;8.34970;6.96364;8.28940;7.88885;2018
CAMPO GRANDE;EE LINO VILLACHA;7.81649;7.46323;6.69000;6.72034;7.04217;2018
CAMPO GRANDE;EE LUISA VIDAL BORGES DANIEL;9.67366;9.15582;8.86880;9.30077;9.13203;2018
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;8.61267;8.30300;8.18155;7.98496;8.23152;2018
CAMPO GRANDE;EE MANOEL BONIFÁCIO NUNES DA CUNHA;8.61178;8.16252;7.35054;7.99948;7.83593;2018
MARACAJU;EE MANOEL FERREIRA DE LIMA;8.21791;7.85511;6.52775;7.49881;7.34083;2018
PARANAÍBA;EE MANOEL GARCIA LEAL;9.13543;8.85668;8.43237;8.58032;8.67118;2018
CAMPO GRANDE;EE MARIA CONSTANÇA BARROS MACHADO;8.83970;8.35098;7.80994;7.97083;8.09487;2018
ANASTÁCIO;EE MARIA CORRÊA DIAS;8.68235;8.34995;8.15060;8.09521;8.27032;2018
DOURADOS;EE MARIA DA GLÓRIA MUZZI FERREIRA;7.65747;7.09443;7.10283;6.85383;7.13005;2018
ANAURILÂNDIA;EE MARIA JOSÉ;8.08470;7.75919;7.46903;7.22261;7.59289;2018
PONTA PORÃ;EE MENDES GONÇALVES;8.65340;8.31820;7.70022;7.95533;8.06671;2018
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;9.30859;9.10142;8.87936;9.15319;9.04367;2018
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;7.84320;7.43031;6.91959;6.80185;7.16069;2018
CAMPO GRANDE;EE NICOLAU FRAGELLI;9.77308;9.51054;9.13090;9.56034;9.39939;2018
CORUMBÁ;EE OCTACÍLIO FAUSTINO DA SILVA;8.12663;7.95418;7.67454;8.06893;7.87963;2018
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;9.24811;8.69163;8.58685;8.65365;8.70408;2018
MARACAJU;EE PADRE CONSTANTINO DE MONTE;9.11978;8.55144;8.55374;8.51970;8.61240;2018
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;9.68445;9.36295;9.04922;9.45083;9.29507;2018
CAMPO GRANDE;EE PADRE JOÃO GREINER;8.86177;8.29917;7.84526;8.26724;8.15347;2018
TRÊS LAGOAS;EE PADRE JOÃO TOMES;8.22010;7.41065;5.91514;6.86059;6.78498;2018
VICENTINA;EE PADRE JOSÉ DANIEL;8.32540;7.77546;7.89015;7.53089;7.85374;2018
DOURADOS;EE PASTOR DANIEL BERG;8.89571;8.27510;8.01376;8.13490;8.23406;2018
IGUATEMI;EE PAULO FREIRE;8.74106;8.74770;8.06088;8.05751;8.34814;2018
CAMPO GRANDE;EE PÓLO PROFª. REGINA LÚCIA ANFFE NUNES BETINE;9.50048;9.20936;7.78812;7.90357;8.38508;2018
DOURADOS;EE PRES. TANCREDO NEVES;8.70057;8.24263;8.33176;8.21477;8.33007;2018
DOURADOS;EE PROF. ALICIO ARAUJO;8.00299;7.40407;7.46405;7.20424;7.47155;2018
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;8.83200;8.30245;7.86246;7.61288;8.06834;2018
CAMPO GRANDE;EE PROF. EMYGDIO CAMPOS WIDAL;9.31434;8.67861;8.51532;8.61587;8.66717;2018
CAMPO GRANDE;EE PROF. HENRIQUE CIRYLLO CORREA;8.46344;7.88460;7.48546;7.80204;7.78247;2018
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;8.63272;7.46743;7.07133;7.81191;7.51986;2018
DOURADOS;EE PROF. JOSÉ PEREIRA LINS;8.77409;8.19233;8.19884;8.10437;8.24574;2018
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;8.60146;7.64122;7.22682;7.61058;7.57332;2018
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;9.18024;8.61450;7.49197;8.21788;8.14110;2018
CAMPO GRANDE;EE PROF. SEVERINO DE QUEIROZ;8.08820;7.59127;8.42451;7.71250;8.04902;2018
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;9.48741;9.16090;9.17527;8.95173;9.17225;2018
CAMPO GRANDE;EE PROFª ALICE NUNES ZAMPIERE;8.44271;8.14907;8.04606;7.76605;8.07253;2018
CAMPO GRANDE;EE PROFª BRASILINA FERRAZ MANTERO;7.92201;7.59491;7.58809;7.39791;7.59439;2018
DOURADOS;EE PROFª FLORIANA LOPES;8.69098;8.48640;7.83785;7.87003;8.16459;2018
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;9.52694;9.02215;8.68094;9.03903;8.95405;2018
CAMPO GRANDE;EE PROFª JOELINA DE ALMEIDA XAVIER;9.28397;8.46583;7.98189;8.41616;8.36671;2018
ALCINÓPOLIS;EE PROFª ROMILDA COSTA CARNEIRO;8.60890;7.72269;7.97857;7.85449;7.95722;2018
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;8.85162;8.45567;7.11577;7.90447;7.88298;2018
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;8.20332;7.82166;6.81227;6.81405;7.28641;2018
CAMPO GRANDE;EE PROFª. FLAVINA MARIA DA SILVA;8.27601;7.44429;7.75217;7.49400;7.68484;2018
BATAGUASSU;EE PROFESSOR BRAZ SINIGÁGLIA;8.98092;8.56242;7.67182;8.34069;8.23518;2018
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;7.59488;6.94505;6.56451;6.32896;6.75423;2018
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;8.47799;8.02521;7.53516;7.61599;7.80899;2018
GLÓRIA DE DOURADOS;EE PROFESSORA EUFROSINA PINTO;9.28701;8.99789;8.52705;8.82979;8.80202;2018
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;8.48770;8.46653;7.78793;7.94122;8.11716;2018
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;9.08177;8.63301;8.43622;8.12488;8.52766;2018
RIO BRILHANTE;EE PROFESSORA LIGIA TEREZINHA MARTINS;8.95781;8.32680;7.51639;8.09078;8.04058;2018
DOURADOS;EE RAMONA DA SILVA PEDROSO;7.97406;7.86920;6.66260;7.17000;7.28365;2018
IVINHEMA;EE REYNALDO MASSI;7.84031;7.59444;7.61424;7.33064;7.58984;2018
CAMPO GRANDE;EE RIACHUELO;9.17796;8.62223;8.54530;8.19747;8.58225;2018
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;8.11082;7.34128;8.00906;7.41345;7.73887;2018
ANASTÁCIO;EE ROBERTO SCAFF;9.10062;8.55395;6.97593;7.52587;7.87077;2018
ITAPORÃ;EE RODRIGUES ALVES;9.21943;9.05004;8.27585;9.01966;8.77633;2018
CORUMBÁ;EE ROTARY CLUB;8.34662;8.17920;7.28709;7.71725;7.75076;2018
DOURADOS;EE ROTARY DR. NELSON DE ARAÚJO;9.50868;9.06624;7.74064;9.23111;8.71793;2018
CAMPO GRANDE;EE RUI BARBOSA;7.80848;7.41599;6.74375;7.20419;7.13440;2018
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;8.93528;8.30995;7.51992;7.95294;8.00426;2018
CASSILÂNDIA;EE SÃO JOSÉ;8.06617;7.58076;7.64957;7.03866;7.56918;2018
ANGÉLICA;EE SENADOR FILINTO MULLER;9.13755;8.63465;7.06445;8.65765;8.10289;2018
FÁTIMA DO SUL;EE SENADOR FILINTO MULLER;8.95986;8.71528;8.06838;8.38651;8.42595;2018
IVINHEMA;EE SENADOR FILINTO MULLER;8.57553;8.16014;8.30157;8.06732;8.25918;2018
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;9.32348;8.83918;6.86119;8.96274;8.11516;2018
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;7.66029;7.37095;7.54442;6.97887;7.40370;2018
NIOAQUE;EE UIRAPURU;8.86218;8.65332;8.68654;8.80698;8.72276;2018
CAMPO GRANDE;EE VESPASIANO MARTINS;7.75750;7.30896;6.68001;7.06076;7.05088;2018
FÁTIMA DO SUL;EE VILA BRASIL;8.83751;8.49850;8.19831;8.18544;8.37296;2018
DOURADOS;EE VILMAR VIEIRA MATOS;8.50794;8.04046;7.25901;7.38589;7.64832;2018
NAVIRAÍ;EE VINÍCIUS DE MORAES;7.90350;7.33991;7.33716;7.64120;7.46372;2018
CAMPO GRANDE;EE WALDEMIR BARROS DA SILVA;8.97247;8.63752;9.03300;8.83760;8.88832;2018
PARANAÍBA;EE WLADISLAU GARCIA GOMES;8.33680;7.88172;7.51025;7.46479;7.71328;2018
CAMPO GRANDE;EE ZAMENHOF;9.43728;9.50035;9.26321;9.22903;9.35148;2018
NOVA ANDRADINA;EEPROFª NAIR PALÁCIO DE SOUZA;8.73312;8.60326;8.71944;8.40627;8.63464;2018
MIRANDA;ESCOLA ESTADUAL INDIGENA CACIQUE VICENTE DE ALMEIDA;8.46191;7.78177;6.36873;7.89100;7.42099;2018
