AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2019;Dourados;EE ANTÔNIA DA SILVEIRA CAPILÉ;352;346;6;71;2;0;0;0;0;279;0
2019;Nova Alvorada do Sul;EE ANTÔNIO COELHO;699;675;24;69;19;0;0;0;0;611;0
2019;Campo Grande;EE ANTÔNIO DELFINO PEREIRA E C. CULT. ED. TIA EVA;270;258;12;47;4;0;0;0;0;219;0
2019;Navirai;EE ANTÔNIO FERNANDES;920;894;26;136;6;0;0;0;0;778;0
2019;Navirai;EE ANTÔNIO FERNANDES - EXTENSÃO EM MILTON DIAS PORTO;161;152;9;21;0;0;0;0;0;140;0
2019;Itapora;EE ANTÔNIO JOÃO RIBEIRO;1078;1054;24;105;74;2;0;262;60;575;0
2019;Terenos;EE ANTÔNIO NOGUEIRA DA FONSECA;417;391;26;41;9;1;0;0;0;366;0
2019;Jardim;EE ANTÔNIO PINTO PEREIRA;559;547;12;78;3;0;0;22;21;433;2
2019;Jardim;EE ANTÔNIO PINTO PEREIRA-EXTENSÃO ESTABELECIMENTO PENAL MASCULINO MÁXIMO ROMERO;33;33;0;1;3;0;0;13;1;15;0
2019;Terenos;EE ANTÔNIO VALADARES;752;730;22;107;29;0;0;0;0;616;0
2019;Terenos;EE ANTÔNIO VALADARES - EXTENSÃO PATAGONIA;169;165;4;16;11;0;0;0;0;142;0
2019;Dourados;EE ANTÔNIO VICENTE AZAMBUJA;357;354;3;50;1;0;0;0;0;306;0
2019;Paranaiba;EE ARACILDA CÍCERO CORRÊA DA COSTA;991;638;353;228;13;0;0;12;6;729;3
2019;Campo Grande;EE ARACY EUDOCIAK;1424;1356;68;196;42;0;0;90;78;1018;0
2019;Antonio Joao;EE ARAL MOREIRA;921;783;138;119;30;0;0;80;31;661;0
2019;Caarapo;EE ARCÊNIO ROJAS;437;423;14;91;7;0;0;0;0;339;0
2019;Campo Grande;EE ARLINDO DE ANDRADE GOMES;1542;1478;64;237;28;0;19;0;0;1254;4
2019;Campo Grande;EE ARLINDO DE SAMPAIO JORGE;1150;939;211;132;8;1;39;216;52;702;0
2019;Chapadao do Sul;EE AUGUSTO KRUG NETTO;786;724;62;256;11;0;0;0;0;519;0
2019;Nova Andradina;EE AUSTRILIO CAPILÉ CASTRO;280;270;10;77;3;0;0;0;0;200;0
2019;Douradina;EE BARÃO DO RIO BRANCO;880;855;25;62;90;0;0;57;9;662;0
2019;Douradina;EE BARÃO DO RIO BRANCO -EXT.ALDEIA PANAMBI LAGOA RICA;72;72;0;1;3;0;0;0;0;68;0
2019;Sao Gabriel do Oeste;EE BERNARDINO FERREIRA DA CUNHA;733;702;31;126;0;0;0;0;0;601;6
2019;Sao Gabriel do Oeste;EE BERNARDINO FERREIRA DA CUNHA -EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE SÃO GABRIEL DO OESTE;33;25;8;8;0;0;0;11;6;8;0
2019;Campo Grande;EE BLANCHE DOS SANTOS PEREIRA;1203;1171;32;161;11;1;0;0;0;1029;1
2019;Tres Lagoas;EE BOM JESUS;898;856;42;181;36;0;0;0;0;681;0
2019;Bonito;EE BONIFÁCIO CAMARGO GOMES;1126;1085;41;231;50;0;1;20;0;824;0
2019;Bonito;EE BONIFÁCIO CAMARGO GOMES  - EXTENSÃO DISTRITO ÁGUAS DE MIRANDA;51;50;1;1;9;0;0;0;0;41;0
2019;Batayporã;EE BRAZ SINIGAGLIA;780;765;15;130;4;0;0;57;45;544;0
2019;Miranda;EE CAETANO PINTO;797;779;18;134;29;0;6;0;0;628;0
2019;Maracaju;EE CAMBARAI;1088;919;169;89;30;0;0;0;0;965;4
2019;Camapua;EE CAMILO BONFIM;668;644;24;93;26;0;0;47;16;486;0
2019;Aquidauana;EE CÂNDIDO MARIANO;770;743;27;104;30;0;0;0;0;635;1
2019;Corumba;EE CARLOS DE CASTRO BRASIL;914;907;7;54;34;0;0;135;8;683;0
2019;Corumba;EE CARLOS DE CASTRO BRASIL -EXTENSÃO UNIDADE EDUCACIONAL DE INTERNAÇÃO -UNEI PANTANAL;29;27;2;9;1;0;0;0;0;19;0
2019;Anastacio;EE CARLOS DRUMMOND DE ANDRADE;566;536;30;98;5;0;0;0;0;463;0
2019;Miranda;EE CARMELITA CANALE REBUÁ;526;516;10;81;5;0;0;37;34;369;0
2019;Bela Vista;EE CASTELO BRANCO;1221;1052;169;141;2;0;0;24;0;1054;0
2019;Mundo Novo;EE CASTELO BRANCO;1230;1135;95;119;26;0;0;70;45;969;1
2019;Dourados;EE CASTRO ALVES;1155;1123;32;81;7;0;0;0;0;1067;0
2019;Aquidauana;EE CEL. ANTONIO TRINDADE;308;297;11;73;5;0;0;0;0;230;0
2019;Amambai;EE CEL. FELIPE DE BRUM;942;796;146;120;9;0;0;44;31;738;0
2019;Aquidauana;EE CEL. JOSÉ ALVES RIBEIRO;1195;1160;35;100;33;0;8;11;18;1025;0
2019;Jardim;EE CEL. JUVÊNCIO;824;791;33;124;4;0;0;62;11;623;0
2019;Maracaju;EE CEL. LIMA DE FIGUEIREDO;884;872;12;119;16;0;0;56;63;630;0
2019;Jardim;EE CEL. PEDRO JOSÉ RUFINO;1385;1202;183;130;5;0;0;42;27;1181;0
2019;Coronel Sapucaia;EE CEL. SAPUCAIA;920;901;19;164;6;1;0;0;0;749;0
2019;Coronel Sapucaia;EE CEL. SAPUCAIA - EXTENSÃO SALA ÑANDE REKO ARANDU - ALDEIA TAQUAPERY;114;114;0;2;1;0;0;0;0;111;0
2019;Água Clara;EE CHICO MENDES;645;625;20;144;7;0;4;11;1;478;0
2019;Sonora;EE COMANDANTE MAURÍCIO COUTINHO DUTRA;1290;1271;19;103;26;0;0;116;40;1003;2
2019;Campo Grande;EE CORAÇÃO DE MARIA;480;469;11;45;1;0;0;0;0;434;0
2019;Brasilandia;EE DEBRASA;75;56;19;9;0;0;0;0;0;66;0
2019;Brasilandia;EE DEBRASA - EXTENSÃO SALA MUTUM;23;22;1;5;1;0;0;0;0;17;0
2019;Nova Alvorada do Sul;EE DELFINA NOGUEIRA DE SOUZA;1203;1190;13;179;26;0;0;0;0;998;0
