AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2018;Campo Grande;EE BLANCHE DOS SANTOS PEREIRA;1419;1345;74;274;12;0;41;970;122;0;0
2018;Tres Lagoas;EE BOM JESUS;1699;1403;296;246;126;0;0;1005;322;0;0
2018;Bonito;EE BONIFÁCIO CAMARGO GOMES;1190;1090;100;125;55;0;123;784;103;0;0
2018;Bonito;EE BONIFÁCIO CAMARGO GOMES  - EXTENSÃO DISTRITO ÁGUAS DE MIRANDA;55;55;0;6;5;0;12;32;0;0;0
2018;Batayporã;EE BRAZ SINIGAGLIA;1003;860;143;121;0;0;97;742;43;0;0
2018;Miranda;EE CAETANO PINTO;827;767;60;152;15;0;20;477;163;0;0
2018;Maracaju;EE CAMBARAI;1055;993;62;124;48;2;0;686;195;0;0
2018;Camapua;EE CAMILO BONFIM;443;400;43;76;19;0;2;341;5;0;0
2018;Aquidauana;EE CÂNDIDO MARIANO;865;811;54;141;86;1;17;595;25;0;0
2018;Corumba;EE CARLOS DE CASTRO BRASIL;1087;940;147;135;68;0;49;742;93;0;0
2018;Corumba;EE CARLOS DE CASTRO BRASIL -EXTENSÃO UNIDADE EDUCACIONAL DE INTERNAÇÃO -UNEI PANTANAL;46;32;14;27;1;1;0;17;0;0;0
2018;Anastacio;EE CARLOS DRUMMOND DE ANDRADE;753;647;106;153;19;0;29;437;115;0;0
2018;Miranda;EE CARMELITA CANALE REBUÁ;939;881;58;180;24;0;4;517;214;0;0
2018;Bela Vista;EE CASTELO BRANCO;1230;1027;203;216;3;0;0;987;24;0;0
2018;Mundo Novo;EE CASTELO BRANCO;1361;1224;137;140;32;0;0;981;208;0;0
2018;Dourados;EE CASTRO ALVES;1175;1127;48;135;5;0;0;904;131;0;0
2018;Aquidauana;EE CEL. ANTONIO TRINDADE;276;252;24;61;3;0;0;194;18;0;0
2018;Aquidauana;EE CEL. ANTONIO TRINDADE- EXTENSÃO SALA GIOVANI TOSCANO DE BRITO;126;118;8;35;2;0;0;74;15;0;0
2018;Amambai;EE CEL. FELIPE DE BRUM;1123;947;176;164;40;2;0;679;238;0;0
2018;Aquidauana;EE CEL. JOSÉ ALVES RIBEIRO;1456;1254;202;148;60;0;6;961;277;4;0
2018;Jardim;EE CEL. JUVÊNCIO;837;748;89;114;25;0;0;595;103;0;0
2018;Maracaju;EE CEL. LIMA DE FIGUEIREDO;1074;946;128;155;31;0;56;626;206;0;0
2018;Jardim;EE CEL. PEDRO JOSÉ RUFINO;1368;1190;178;168;6;0;21;1047;126;0;0
